Save Set Details

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:46 PM

Save Set Name,Save Time,Save Set ID,Level,Duration,Save Set Size,Number of Files
/arcbk/,12/26/07 1:49:12 AM,4067508740, ,365,12862319032,58
/arcbk/,12/26/07 12:32:16 PM,3815889123, ,28,1608024032,37
/arcbk/,12/26/07 6:01:26 PM,3681691125, ,19,1072104188,36
/arcbk/,12/26/07 6:32:19 PM,3664915759, ,28,1608024368,37
/arcbk/,12/26/07 8:31:34 PM,3597814041, ,35,1066481632,36
/arcbk/,12/26/07 9:00:46 PM,3581038576, ,21,538559632,36
/arcbk/,12/27/07 1:01:39 AM,3513944160, ,32,1072104608,36
/arcbk/,12/27/07 1:48:18 AM,3463615311, ,242,12326407812,57
/arcbk/,12/27/07 9:02:25 AM,3329423630, ,28,1608025544,37
/arcbk/,12/27/07 9:37:58 AM,3312648554, ,98,5359456936,45
/arcbk/,12/27/07 10:03:52 AM,3295872910, ,48,2679866324,40
/arcbk/,12/27/07 11:03:12 AM,3262322044, ,39,2143941760,39
/arcbk/,12/27/07 11:32:27 AM,3245546594, ,28,1608024820,38
/arcbk/,12/27/07 12:02:27 PM,3228771182, ,29,1608026440,38
/arcbk/,12/27/07 12:32:19 PM,3211995763, ,30,1608018844,38
/arcbk/,12/27/07 4:05:29 PM,3128122488, ,65,3751690320,42
/arcbk/,12/27/07 4:31:31 PM,3111346837, ,20,1072106792,37
/arcbk/,12/27/07 5:03:13 PM,3094571513, ,38,2143947096,39
/arcbk/,12/27/07 6:02:27 PM,3061020625, ,28,1608023016,38
/arcbk/,12/27/07 8:30:51 PM,2977143439, ,11,600087332,37
/arcbk/,12/27/07 9:00:46 PM,2960368016, ,10,537001028,37
/arcbk/,12/27/07 9:33:10 PM,2943592743, ,48,2143940888,39
/arcbk/,12/28/07 12:38:04 AM,2893272185, ,94,5359444392,45
/arcbk/,12/28/07 1:03:10 AM,2876496451, ,41,2143945944,39
/arcbk/,12/28/07 1:39:45 AM,2826166994, ,114,6431297832,47
/arcbk/,12/28/07 2:08:44 AM,2775837067, ,101,5895370876,46
/arcbk/,12/28/07 7:01:35 PM,2406799122, ,19,1072109060,37
/arcbk/,12/28/07 8:31:28 PM,2373250088, ,17,958922608,37
/arcbk/,12/29/07 12:32:19 AM,645211298, ,27,1608027872,38
/arcbk/,12/29/07 1:01:38 AM,628435845, ,19,1072105272,37
/arcbk/,12/29/07 7:31:34 AM,443909877, ,19,1072104956,37
/arcbk/,12/29/07 8:01:36 AM,427134463, ,19,1072109620,37
/arcbk/,12/29/07 8:32:26 AM,410359104, ,28,1608025704,38
/arcbk/,12/29/07 9:01:29 AM,393583634, ,19,1072109760,37
/arcbk/,12/29/07 9:32:27 AM,376808280, ,30,1608027892,38
/arcbk/,12/29/07 10:01:32 AM,360032813, ,18,1072109900,37
/arcbk/,12/29/07 10:33:10 AM,343257493, ,37,2143950204,39
/arcbk/,12/29/07 11:01:35 AM,326481972, ,21,1072110068,37
/arcbk/,12/29/07 11:33:57 AM,309706695, ,45,2679866912,40
/arcbk/,12/29/07 12:01:39 PM,292931130, ,19,1072110264,37
/arcbk/,12/29/07 12:32:23 PM,276155757, ,27,1608030444,38
/arcbk/,12/29/07 3:34:02 PM,209057783, ,45,2679869808,40
/arcbk/,12/29/07 4:04:01 PM,192282356, ,46,2679870972,40
/arcbk/,12/29/07 5:01:35 PM,158731372, ,19,1072110768,37
/arcbk/,12/29/07 8:31:21 PM,91635081, ,16,913132432,37
/arcbk/,12/30/07 6:01:36 AM,4151755552, ,19,1072111188,37
/arcbk/,12/30/07 6:31:32 AM,4134980130, ,19,1072111244,37
/arcbk/,12/30/07 10:31:32 AM,4051108438, ,18,1072111412,37
/arcbk/,12/30/07 11:31:38 AM,4017557616, ,19,1072111496,37
/arcbk/,12/30/07 12:02:12 PM,4000782237, ,27,1608031676,38
/arcbk/,12/30/07 12:33:15 PM,3984006891, ,36,2143945228,39
/arcbk/,12/30/07 1:02:23 PM,3967231431, ,27,1608031872,38
/arcbk/,12/30/07 1:32:23 PM,3950456021, ,27,1608031956,38
/arcbk/,12/30/07 2:02:23 PM,3933680610, ,28,1608031016,38
